Label,ID,Text
French,article-0-0-fr,"Résumé 
Dans ce papier, nous proposons une méthode pour résumer et interroger des logs de requêtes OLAP. L’idée de base est qu’une requête résume une autre requête et qu’un log, qui est une séquence de requêtes, résume un autre log. Notre cadre formel est composé d’une algèbre simple destinée à résumer des requêtes OLAP, et d’une mesure évaluant la qualité du résumé obtenu. Nous proposons également plusieurs stratégies pour calculer automatiquement des résumés de logs de bonne qualité, et nous montrons comment des propriétés simples sur les résumés peuvent être utilisées pour interroger un log efficacement. Des tests sur des logs de requêtes MDX ont montré l’intérêt de notre approche."
English,article-0-0-eng,"Abstract In this paper, we propose a method for summarizing OLAP query logs. The basic idea is that a query summarizes another query and that a log, which is a sequence of queries, summarizes another log. Our framework allows to declaratively specify a summary, and includes a measure to assess the quality of the summaries.We also propose several strategies for automatically computing a good quality summary of a query log, and we show how some simple properties on the summaries can be used to query the log efficiently. Tests on MDX query logs showed the usefulness of our approach."
TEng,article-0-0-teng,"Summary
In this paper, we propose a method for summarizing and interrogating OLAP request logs. The basic idea is that a request summarizes another request and that a log, which is a sequence of requests, summarizes another log. Our formal framework is composed of a simple algebra intended to summarize OLAP queries, and of a measure evaluating the quality of the summary obtained. We also offer several strategies for automatically calculating good quality log summaries, and we show how simple properties on summaries can be used to query a log efficiently. Tests on MDX request logs have shown the interest of our approach."
French,article-0-14-fr,"Intuition
Nous cherchons à évaluer si une requête (resp., un log), qui correspond à un ensemble de références (resp., requêtes), résume fidèlement une autre requête (resp., un autre log). Les opérateurs de QSL résument en conservant, ajoutant ou retirant des références aux requêtes à résumer pour constituer le résumé. Une manière d’évaluer cette fidélité est de mesurer la proportion de ce qui est ajouté ou enlevé par l’opérateur. Nous nous sommes donc tournés vers les mesures de rappel et précision classiques en recherche d’information."
English,article-0-14-eng,"Intuition
The measure should assess to which extends a query (respectively, a log), which is a set of references (respectively, of queries), is a faithful summary of another query (respectively, another log). The operators of QSL define summaries by adding or removing references to their operands. For instance the lca operator summarizes by adding references containing ancestors. The measure should thus assess the proportion of what is added or removed to define the summary. This is achieved by adapting the classical notion of precision and recall."
TEng,article-0-14-teng,"Intuition
We seek to assess whether a request (resp., A log), which corresponds to a set of references (resp., Requests), faithfully summarizes another request (resp., Another log). The operators of QSL summarize by preserving, adding or removing references to the queries to be summarized to constitute the summary. One way to assess this fidelity is to measure the proportion of what is added or removed by the operator. We therefore turned to conventional recall and precision measurements in search of information."
French,article-0-16-fr,"Ainsi, nous proposons d’étendre rappel et précision par la prise en compte d’une relation de couverture. Pour être le plus général possible, nous choisissons la relation de couverture définie sur les références puisque tant les requêtes que les logs peuvent être assimilés à des ensembles de références. Ainsi définie de manière générale, cette mesure présente l’intérêt de pouvoir être appliquée sur deux requêtes ou deux logs, ou n’importe quel couple d’ensembles de références."
English,article-0-16-eng,"We propose to extend recall and precision by taking into account a cover relation between the elements of the two sets, the summary and the summarized. In this article we use the cover relation defined over references since both queries and logs can be seen as sets of references, and thus the quality measure can be used on queries or on logs, or on any sets of references. Note that the definition of the measure is even more general in the sense that it does not rely on a particular cover relation. We now formalize these notions."
TEng,article-0-16-teng,"Thus, we propose to extend recall and precision by taking into account a hedging relationship. To be as general as possible, we choose the coverage relationship defined on the references since both the queries and the logs can be assimilated to sets of references. Thus defined in general, this measure has the advantage of being able to be applied to two requests or two logs, or any couple of sets of references."
French,article-0-2-fr,"Dans cet article, nous développons les travaux entrepris sur le résumé de log de requêtes OLAP (Aligon et al., 2010a), où nous proposions un langage de manipulation de requêtes (appelé QSL) pour résumer des requêtes OLAP, une mesure de la qualité d’un résumé et un algorithme glouton de construction automatique de résumés de log de requêtes utilisant QSL. Sur cette base, nous proposons un nouvel algorithme de calcul de résumés et deux sous-langages de QSL dont nous étudions les propriétés. Nous indiquons comment ces propriétés sont utilisées pour interroger un log. Finalement, nous présentons l’implémentation de notre cadre et quelques tests illustrant son efficacité."
English,article-0-2-eng,"In this article we present and develop the work initiated in [1, 2]. In these papers, we proposed a framework for summarizing an OLAP query log, and we studied basic properties of the framework for helping the user to query the log. The present article provides a detailed presentation of the framework and introduces its implementation as a system for summarizing and querying log files. To this end, we extend the search facilities introduced in [2] to obtain a declarative language with which complex queries over a log file can be expressed."
TEng,article-0-2-teng,"In this article, we develop the work undertaken on the OLAP request log summary (Aligon et al., 2010a), where we proposed a request manipulation language (called QSL) to summarize OLAP requests, a measure of quality. of a summary and a greedy algorithm of automatic construction of summaries of request log using QSL. On this basis, we propose a new algorithm for calculating summaries and two QSL sublanguages whose properties we are studying. We indicate how these properties are used to query a log. Finally, we present the implementation of our framework and some tests illustrating its effectiveness."
French,article-0-4-fr,"Dans la section 5, nous présentons notre nouvel algorithme de résumé et introduisons quelques propriétés des résumés obtenus à l’aide des sous-langages de QSL. La section 6 présente l’exploitation des propriétés de notre cadre pour interroger des logs. La section 7 présente notre implémentation et les tests conduits. Nous discutons des travaux connexes et concluons dans la section 8."
English,article-0-4-eng,"In Section 5, we present the algorithm that automatically constructs summaries based on QSL and the quality measure. We also introduce the properties of the summaries constructed with sub-languages of QSL. Section 6 presents the language for querying logs, and describes how properties of the framework can be used to ensure efficient searches. Section 7 describes the implementation of the framework and the experiments conducted to evaluate its effectiveness. Section 8 discusses related work. We conclude and draw perspectives in Section 9."
TEng,article-0-4-teng,"In section 5, we present our new summary algorithm and introduce some properties of summaries obtained using QSL sublanguages. Section 6 presents the exploitation of the properties of our framework to query logs. Section 7 presents our implementation and the tests conducted. We discuss related work and conclude in section 8."
French,article-0-7-fr,"Tout d’abord notons que plusieurs manières de résumer sont pertinentes. Par exemple, en résumant le log par la seule requête mentionnant les membres les plus fréquemment interrogés, ce qui intéressera un administrateur souhaitant savoir quels indexes positionner. Dans notre exemple une telle requête demanderait les ventes de Coke dans les régions North et South pour July 2008 (la requête q2). Une autre manière de résumer permettrait à un utilisateur de savoir grossièrement ce qui a été fait sur le cube, sous la forme d’une requête interrogeant les ventes de soda en France en 2008. Si l’utilisateur est intéressé par plus de détails, il pourra ensuite interroger le log pour trouver des requêtes précises. Un autre intérêt d’un résumé, plus compact qu’un log, est donc de pouvoir être utilisé en amont du log pour rendre l’interrogation plus efficace."
English,article-0-7-eng,"Assume we want to summarize these queries by another query. Various solutions are possible. First, we can summarize the queries by retaining for each dimension the most frequent members. This could be of interest for a DBA who would like to know what indices to store. In that case, the resulting query would ask for sales of Coke in regions North or South during July 2008 (i.e., query q2). A second alternative would be to summarize the queries with another query having for each dimension the members that cover all members present in the initial queries. For example, note that Pepsi, Coke and Orangina are sodas, cities Paris and Marseille and regions North and South are in France and all three queries concern year 2008. The query summarizing the log L would then ask for the sales of Soda in France in 2008. The user interested in more details on the query could then query the log to find the queries that were indeed launched."
TEng,article-0-7-teng,"First, note that several ways of summarizing are relevant. For example, by summarizing the log by the only query mentioning the members most frequently questioned, which will interest an administrator wishing to know which indexes to position. In our example, such a query would request sales of Coke in the North and South regions for July 2008 (query q2). Another way of summarizing would allow a user to know roughly what was done on the cube, in the form of a query querying sales of soda in France in 2008. If the user is interested in more details, he can then query the log to find specific requests. Another advantage of a summary, more compact than a log, is therefore that it can be used upstream of the log to make the query more efficient."
French,article-1-12-fr,"Une brève description des données est reportée en table 1. L’expérience “train-test” consiste à diviser la base de données en deux sous-ensembles en respectant la distribution des classes. La première sert à l’apprentissage (i.e. l’extraction de règles selon des seuils donnés de fréquence, confiance et taux d’accroissement), la deuxième sert à évaluer l’évolution des valeurs des mesures (en test). Nous calculons et comparons aussi les valeurs de level des règles extraites en apprentissage et en test."
